Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material, Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;TIPOLOGIAS
FE 1-1-1;Lisboa/Portugal;x;13,4 x 6,3 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 552 e 558; Travessa 7 de Setembro n° 104; Rua Conselheiro João Alfredo n° 284; Travessa Gurupá n° 114; Travessa Quintino Bocaiúva n° 932/946; Travessa Rui Barbosa n° 355 e 845; Rua Veiga Cabral n° 1338; Rua Ó de Almeida n° 43 e 387; Travessa Presidente Pernambuco n° 204; Avenida Gentil Bittencourt n° 231; Avenida 16 de Novembro n° 79 e 107; Rua Rodrigues Santos n° 305; Rua Dr. Assis n° 130; Travessa Campos Sales n° 591, 715 e 300/306/308/312; Rua Gaspar Viana n° 151/153/157 e 165/169; Praça Barão do Guajará n° 53; Rua 13 de Maio n° 194, 458/462 e 470; Avenida Castilhos França n° 524/534 e 600/608; Rua 28 de Setembro n° 42, 157, 528 e 536; Rua Senador Manoel Barata n° 337";Cidade Velha, Campina, Reduto, Nazaré, Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 1-1-2;Lisboa/Portugal;x;13,2 x 6,5 cm;Cerâmica e vidrado Estampinha;Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 1-1-3;Lisboa/Portugal;x;13,2 x 6,5 cm;Cerâmica e vidrado Estampinha;Demolido;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 1-1-4;Lisboa/Portugal;x;13,2 x 6,5 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 1-2-2;Lisboa/Portugal;x;13,2 x 6,3 cm;Cerâmica e vidrado Estampinha;Rua 28 de Setembro n° 328;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 1-2-5;Lisboa/Portugal;x;13,2 x 6,3 cm;Cerâmica e vidrado Estampinha;"Avenida Nazaré n° 293 e 305; Travessa Felix Roque n° 119";Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 6-1-1;Lisboa/Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa Quintino Bocaiúva n° 1242;Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 7-1-1;Lisboa/Portugal;x;13,6 x 6,3 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 529; Rua Diogo Moia n° 1101; Travessa 7 de Setembro n° 164/168/170; Travessa Joaquim Távora n° 334; Travessa Gurupá n° 266; Travessa Alenquer n° 162; Travessa Rui Barbosa n° 819 e 825; Rua Senador Manoel Barata n° 114/118, 123 e 848; Rua Aristides Lobo n° 488; Avenida Portugal n° 183; Rua Cametá n° 55 e 94; travessa Padre Eutiquio n° 555 e 1359; Rua Gaspar Viana n° 223, 233/235, 371/375 e 377/381; Rua 15 de Novembro n° 29/31; Rua 13 de Maio n° 28/32 e 125; Avenida Castilhos França n° 744, 738, 600/608, 502 e 506; Rua São Boaventura n° 39; Travessa Campos Sales n° 715; Rua Gaspar Viana n° 226/228 e Rua João Diogo n° 100";Cidade Velha/Campina/Reduto/Umarizal/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 7-1-2;Lisboa/Portugal;x;13,6 x 5,3 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 9-1-1;Lisboa/Portugal;x;13 x 6,3 cm;Cerâmica e vidrado Estampinha;"Travessa Dom Romualdo de Seixas n° 1718; Avenida Nazaré n° 31";Umarizal/Nazaré;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
