Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material e Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;latitude;longitude
CE 30-1-1;Porto/Portugal;;;Cerâmica e vidrado Estampinha;Travessa São Francisco nº 60- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4600087;-48,4966468
CE 32-1-1;Porto/Portugal;Carvalhinho;10 x 10 cm;Cerâmica e vidrado Estampinha;Travessa São Francisco nº 60- Belém - Pará - Brasil;Batista Campos;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4600087;-48,4966468
CE 35-1-1;x/Provavelmente Portugal;;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa 7 de Setembro nº 243- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-15090641;-48,6223582
FE 1-1-1;Lisboa/Portugal;;"13;4 x 6;3 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 552- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 1-1-1;Lisboa/Portugal;;"13;4 x 6;3 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 558- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 1-2-2;Lisboa/Portugal;;"13;2 x 6;3 cm";Cerâmica e vidrado Estampinha;Rua 28 de Setembro nº 328- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,450574;-48,4982834
FE 1-2-5;Lisboa/Portugal;;"13;2 x 6;3 cm";Cerâmica e vidrado Estampinha;Avenida Nazaré nº 293- Belém - Pará - Brasil;Nazar�;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4522992;-48,4866069
FE 1-2-5;Lisboa/Portugal;;"13;2 x 6;3 cm";Cerâmica e vidrado Estampinha;Avenida Nazaré nº 305- Belém - Pará - Brasil;Nazar�;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4522992;-48,4866069
FE 6-1-1;Lisboa/Portugal;;;Cerâmica e vidrado Estampinha;Travessa Quintino Bocaiúva nº 1242- Belém - Pará - Brasil;Nazar�;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,45035574;-48,48787954
FE 9-1-1;Lisboa/Portugal;;"13 x 6;3 cm";Cerâmica e vidrado Estampinha;Travessa Dom Romualdo de Seixas nº 1718- Belém - Pará - Brasil;Nazar�;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4488318;-48,4837274
