Azulejo-Código,Cidade,Pais,altura,largura,Endereço,Bairro,Uso-Aplicação
FE 7-1-1,Lisboa,Portugal,13/6,06/3,Travessa Frutuoso Guimarães n° 529/ Rua Diogo Moia n° 1101/ Travessa 7 de Setembro n° 164/168/170/ Travessa Joaquim Távora n° 334/ Travessa Gurupá n° 266/ Travessa Alenquer n° 162/ Travessa Rui Barbosa n° 819 e 825/ Rua Senador Manoel Barata n° 114/118, 123 e 848/ Rua Aristides Lobo n° 488/ Avenida Portugal n° 183/ Rua Cametá n° 55 e 94/ travessa Padre Eutiquio n° 555 e 1359/ Rua Gaspar Viana n° 223, 233/235, 371/375 e 377/381/ Rua 15 de Novembro n° 29/31/ Rua 13 de Maio n° 28/32 e 125/ Avenida Castilhos França n° 744, 738, 600/608, 502 e 506/ Rua São Boaventura n° 39/ Travessa Campos Sales n° 715/ Rua Gaspar Viana n° 226/228 e Rua João Diogo n° 100,Cidade Velha/Campina/Reduto/Umarizal/Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 7-1-2,Lisboa,Portugal,13/6,05/3,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 9-1-1,Lisboa,Portugal,13/1,06/3,Travessa Dom Romualdo de Seias n° 1718/ Avenida Nazaré n° 31,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 9-1-1,Lisboa,Portugal,13/1,06/3,Travessa Dom Romualdo de Seias n° 1718/ Avenida Nazaré n° 31,Umarizal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 10-1-2,,,13/5,07/1,Rua Conselheiro João Alfredo n° 289,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 11-1-1,Portugal,,13/6,06/4,Travessa Gurupá n° 266,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 15-1-1,Lisboa,Portugal,13/1,06/3,"Rua Senador Lemos n° 573/ Rua Gaspar Viana 180/182/ Travessa Leão II n° 21/ 
Rua 28 de Setembro n° 872",Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 15-1-1,Lisboa,Portugal,13/1,06/3,"Rua Senador Lemos n° 573/ Rua Gaspar Viana 180/182/ Travessa Leão II n° 21/ 
Rua 28 de Setembro n° 872",Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 15-1-1,Lisboa,Portugal,13/1,06/3,"Rua Senador Lemos n° 573/ Rua Gaspar Viana 180/182/ Travessa Leão II n° 21/ 
Rua 28 de Setembro n° 872","
Umarizal",Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE  15-1-2,Lisboa,Portugal,13/1,06/3,Rua Domingos Marreiros n° 279/ Rua Padre Prudêncio n° 586/ Rua Gama Abreu n° 1190 e 1202,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE  15-1-2,Lisboa,Portugal,13/1,06/3,Rua Domingos Marreiros n° 279/ Rua Padre Prudêncio n° 586/ Rua Gama Abreu n° 1190 e 1202,Umarizals,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE  15-1-2,Lisboa,Portugal,13/1,06/3,Rua Domingos Marreiros n° 279/ Rua Padre Prudêncio n° 586/ Rua Gama Abreu n° 1190 e 1202,"
Batista Campos",Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 17-2-1,Lisboa,Portugal,13/5,07/5,Rua 13 de MAio n° 81/83/89 e 510/512/514/ Avenida Castilhos França n° 722,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 19-1-1,Lisboa,Portugal,13/5,06/5,Rua Ó de Almeida n° 831/ Rua dos Mundurucus n° 1387/ Rua Senador Manoel Barata n° 993/ Travessa Frei Gil de Vila Nova n° 993,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 19-1-1,Lisboa,Portugal,13/5,06/5,Rua Ó de Almeida n° 831/ Rua dos Mundurucus n° 1387/ Rua Senador Manoel Barata n° 993/ Travessa Frei Gil de Vila Nova n° 993,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 19-1-1,Lisboa,Portugal,13/5,06/5,Rua Ó de Almeida n° 831/ Rua dos Mundurucus n° 1387/ Rua Senador Manoel Barata n° 993/ Travessa Frei Gil de Vila Nova n° 993,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 19-1-2,Lisboa,Portugal,13/5,06/5,Rua Riachuelo n° 190,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 21-1-1,Lisboa,Portugal,13/1,06/1,"Travessa Frutuoso Guimarães n° 329/ Rua Santo Antônio n° 14/20/ Travessa Gurupá n° 178/ 
Rua Ó de Almeida n° 618 e 793/ Rua Senador Manoel Barata n° 77/ Travessa Piedade n° 342, 346 e s/n° e travessa Benjamin Constant n° 1035",Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 21-1-1,Lisboa,Portugal,13/1,06/1,"Travessa Frutuoso Guimarães n° 329/ Rua Santo Antônio n° 14/20/ Travessa Gurupá n° 178/ 
Rua Ó de Almeida n° 618 e 793/ Rua Senador Manoel Barata n° 77/ Travessa Piedade n° 342, 346 e s/n° e travessa Benjamin Constant n° 1035",Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 21-1-1,Lisboa,Portugal,13/1,06/1,"Travessa Frutuoso Guimarães n° 329/ Rua Santo Antônio n° 14/20/ Travessa Gurupá n° 178/ 
Rua Ó de Almeida n° 618 e 793/ Rua Senador Manoel Barata n° 77/ Travessa Piedade n° 342, 346 e s/n° e travessa Benjamin Constant n° 1035",Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 21-1-1,Lisboa,Portugal,13/1,06/1,"Travessa Frutuoso Guimarães n° 329/ Rua Santo Antônio n° 14/20/ Travessa Gurupá n° 178/ 
Rua Ó de Almeida n° 618 e 793/ Rua Senador Manoel Barata n° 77/ Travessa Piedade n° 342, 346 e s/n° e travessa Benjamin Constant n° 1035",Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 22-1-1,Lisboa,Portugal,13/2,06/7,Rua Padre Prudêncio n° 514 e 518,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
